,Rank,Title,Released,Rating,Genres,Description
210,211,12th Fail,2023,9.2,"['Biography', 'Drama']",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
211,212,The Big Lebowski,1998,8.1,"['Comedy', 'Crime']","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
212,213,Tokyo Story,1953,8.1,['Drama'],"An old couple visit their children and grandchildren in the city, but receive little attention."
213,214,Rocky,1976,8.1,"['Drama', 'Sport']",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
214,215,Hotel Rwanda,2004,8.1,"['Biography', 'Drama', 'History']","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
215,216,Logan,2017,8.1,"['Action', 'Drama', 'Sci-Fi']","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s... Read all"
216,217,Spotlight,2015,8.1,"['Biography', 'Crime', 'Drama']","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
217,218,Platoon,1986,8.1,"['Drama', 'War']","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th... Read all"
218,219,La passion de Jeanne d'Arc,1928,8.1,"['Biography', 'Drama', 'History']","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
219,220,The Terminator,1984,8.1,"['Action', 'Sci-Fi']","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so... Read all"
220,221,Before Sunset,2004,8.1,"['Drama', 'Romance']","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
221,222,Jai Bhim,2021,8.7,"['Crime', 'Drama', 'Mystery']","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
222,223,Rush,2013,8.1,"['Action', 'Biography', 'Drama']",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
223,224,The Best Years of Our Lives,1946,8.1,"['Drama', 'Romance', 'War']","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
224,225,Network,1976,8.1,['Drama'],"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
225,226,The Exorcist,1973,8.1,['Horror'],"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life."
226,227,La haine,1995,8.1,"['Crime', 'Drama']",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
227,228,Stand by Me,1986,8.1,"['Adventure', 'Comedy', 'Drama']",A writer recounts a childhood journey with his friends to find the body of a missing boy.
228,229,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"['Action', 'Adventure', 'Fantasy']","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
229,230,The Wizard of Oz,1939,8.1,"['Adventure', 'Family', 'Fantasy']","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu... Read all"
230,231,The Incredibles,2004,8.0,"['Animation', 'Action', 'Adventure']","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
231,232,Into the Wild,2007,8.1,"['Adventure', 'Biography', 'Drama']","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ... Read all"
232,233,To Be or Not to Be,1942,8.2,"['Comedy', 'Romance', 'War']",Comedy
233,234,Hachi: A Dog's Tale,2009,8.1,"['Biography', 'Drama', 'Family']",A college professor bonds with an abandoned dog he takes into his home.
234,235,Ah-ga-ssi,2016,8.1,"['Drama', 'Romance', 'Thriller']","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
235,236,My Father and My Son,2005,8.2,"['Drama', 'Family']",Drama
236,237,La battaglia di Algeri,1966,8.1,"['Drama', 'War']","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
237,238,The Grapes of Wrath,1940,8.1,['Drama'],"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great... Read all"
238,239,Groundhog Day,1993,8.0,"['Comedy', 'Drama', 'Fantasy']","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day."
239,240,The Sound of Music,1965,8.1,"['Biography', 'Drama', 'Family']",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
240,241,Amores perros,2000,8.1,"['Drama', 'Thriller']","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
241,242,Rebecca,1940,8.1,"['Drama', 'Film-Noir', 'Mystery']",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
242,243,Cool Hand Luke,1967,8.1,"['Crime', 'Drama']","A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
243,244,The Iron Giant,1999,8.1,"['Animation', 'Action', 'Adventure']",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
244,245,The Help,2011,8.1,['Drama'],"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th... Read all"
245,246,It Happened One Night,1934,8.1,"['Comedy', 'Romance']","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin... Read all"
246,247,Pather Panchali,1955,8.2,['Drama'],"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
247,248,The 400 Blows,1959,8.1,"['Crime', 'Drama']","A young boy, left without attention, delves into a life of petty crime."
248,249,Aladdin,1992,8.0,"['Animation', 'Adventure', 'Comedy']",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
249,250,Dances with Wolves,1990,8.0,"['Adventure', 'Drama', 'Western']","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
